batter,team,matches,innings,dismisals,not_out,runs,balls,fours,sixes,50s,100s,highest_score,strike_rate,average
T Banton,England,6,6,6,0,172,186,21,4,1,0,58,92.47,28.67
T Bavuma,South Africa,49,49,46,3,1894,2187,188,26,7,5,144,86.6,41.17
T Bhatia,India,11,11,9,2,138,205,13,0,1,0,68,67.32,15.33
T Brits,South Africa,54,55,51,4,1814,2257,211,25,4,7,171,80.37,35.57
T Chetty,South Africa,56,56,49,7,1414,2064,125,2,9,0,90,68.51,28.86
T Duffin,Zimbabwe,9,9,9,0,224,492,24,0,1,0,88,45.53,24.89
T Granger,Zimbabwe,3,3,3,0,38,58,3,0,0,0,20,65.52,12.67
T Gwandu,Zimbabwe,3,3,1,2,6,15,0,0,0,0,3,40.0,6.0
T Kaitano,Zimbabwe,11,11,10,1,157,264,18,2,0,0,42,59.47,15.7
T Kamungozi,Zimbabwe,9,9,5,4,25,56,5,0,0,0,12,44.64,5.0
T Lungameni,Namibia,15,15,9,6,46,108,2,0,0,0,12,42.59,5.11
T Makusha,Zimbabwe,6,6,5,1,22,41,2,0,0,0,12,53.66,4.4
T Maruma,Zimbabwe,15,15,14,1,122,225,8,4,0,0,35,54.22,8.71
T Marumani,Zimbabwe,16,16,14,2,216,343,23,3,0,0,45,62.97,15.43
T Mayes,Ireland,1,1,0,0,8,5,1,0,0,0,8,160.0,inf
T Mishra,Kenya,15,15,13,2,395,564,33,4,4,0,72,70.04,30.38
T Mufudza,Zimbabwe,1,1,1,0,1,9,0,0,0,0,1,11.11,1.0
T Munyonga,Zimbabwe,8,8,6,2,145,208,10,2,0,0,43,69.71,24.17
T Mupariwa,Zimbabwe,21,21,17,4,87,208,7,2,0,0,20,41.83,5.12
T Muzarabani,Zimbabwe,6,6,3,3,10,32,1,0,0,0,5,31.25,3.33
T Panyangara,Zimbabwe,38,38,32,6,192,389,17,3,0,0,33,49.36,6.0
T Putthawong,Thailand,12,12,9,3,77,231,2,0,0,0,22,33.33,8.56
T Ruma,Papua New Guinea,8,8,7,1,232,368,26,0,2,0,80,63.04,33.14
T Sangha,Australia,3,3,1,2,6,20,0,0,0,0,5,30.0,6.0
