batter,team,matches,innings,dismisals,not_out,runs,balls,fours,sixes,50s,100s,highest_score,strike_rate,average
BL Kotze,Namibia,4,4,3,1,27,52,3,0,0,0,24,51.92,9.0
BL Mooney,Australia,83,83,62,21,3090,3501,328,14,19,6,138,88.26,49.84
BM Anusha,India,1,1,1,0,2,6,0,0,0,0,2,33.33,2.0
BM Duckett,England,33,33,32,1,1307,1339,145,19,9,3,165,97.61,40.84
BM Halliday,New Zealand,44,44,39,5,1301,1681,132,13,8,1,157,77.39,33.36
BM Scholtz,Namibia,38,38,24,14,301,470,24,4,0,0,31,64.04,12.54
BM Tickner,New Zealand,7,7,2,5,34,48,3,0,0,0,18,70.83,17.0
BM Wheeler,New Zealand,4,4,0,0,58,47,4,3,0,0,39,123.4,inf
BMAJ Mendis,Sri Lanka,42,42,34,8,593,741,45,12,1,0,72,80.03,17.44
BMSM Kumari,Sri Lanka,27,27,18,9,192,396,21,0,0,0,27,48.48,10.67
BN Cooper,Netherlands,9,9,8,1,148,175,15,4,1,0,74,84.57,18.5
BO van Rooi,Namibia,3,3,1,2,26,39,3,0,0,0,17,66.67,26.0
BOP Fernando,Sri Lanka,8,8,8,0,148,238,15,3,0,0,49,62.18,18.5
BP Kruger,Netherlands,1,1,1,0,8,12,1,0,0,0,8,66.67,8.0
BP Loots,Netherlands,3,3,2,1,15,23,0,2,0,0,9,65.22,7.5
BP Nash,West Indies,2,2,2,0,21,21,2,0,0,0,12,100.0,10.5
BR Dorey,Australia,1,1,1,0,2,9,0,0,0,0,2,22.22,2.0
BR McDermott,Australia,5,5,5,0,223,280,19,5,1,1,104,79.64,44.6
BRM Taylor,Zimbabwe,162,163,153,10,5150,6970,480,66,27,10,145,73.89,33.66
BT Foakes,England,1,1,0,0,61,78,3,1,1,0,61,78.21,inf
BTJ Wheal,Scotland,6,6,6,0,47,65,6,0,0,0,24,72.31,7.83
BV Sears,New Zealand,2,2,1,1,11,18,0,0,0,0,6,61.11,11.0
BV Vitori,Zimbabwe,11,11,8,3,63,75,5,4,0,0,20,84.0,7.88
BW Hilfenhaus,Australia,9,9,3,6,29,71,2,0,0,0,16,40.85,9.67
BYA Mendis,Sri Lanka,8,8,8,0,147,252,21,0,1,0,55,58.33,18.38
Babar Azam,Pakistan,131,131,115,16,6203,7243,578,65,33,20,158,85.64,53.94
Babar Hayat,Hong Kong,15,15,13,2,539,749,47,16,5,0,82,71.96,41.46
Badal Singh,Oman,1,1,1,0,5,12,0,0,0,0,5,41.67,5.0
Basil Hameed,United Arab Emirates,45,45,43,2,1051,1458,74,30,5,0,71,72.09,24.44
Basir Ahamad,Nepal,3,3,3,0,14,38,1,0,0,0,11,36.84,4.67
Batool Fatima,Pakistan,5,5,5,0,64,105,6,0,0,0,28,60.95,12.8
Bazid Khan,Pakistan,5,5,5,0,131,237,7,1,2,0,66,55.27,26.2
Bikram Sob,Nepal,4,4,3,1,4,19,0,0,0,0,2,21.05,1.33
Bilal Asif,Pakistan,3,3,3,0,40,52,6,1,0,0,38,76.92,13.33
Bilal Khan,Oman,20,20,10,10,30,75,1,1,0,0,9,40.0,3.0
Bilawal Bhatti,Pakistan,7,7,6,1,89,77,10,2,0,0,39,115.58,14.83
Bismah Maroof,Pakistan,64,65,54,11,1938,3063,159,1,14,0,91,63.27,35.89
C Abel,Scotland,6,6,5,1,18,59,0,0,0,0,9,30.51,3.6
C Bosch,South Africa,10,10,6,4,270,254,29,5,1,0,67,106.3,45.0
C Brits,South Africa,7,7,5,2,292,421,19,0,3,1,107,69.36,58.4
C Campher,Ireland,30,30,28,2,963,1212,97,13,7,1,120,79.46,34.39
C Carmichael,Ireland,2,2,2,0,64,83,7,1,0,0,48,77.11,32.0
C Carter,Hong Kong,8,8,8,0,111,176,16,0,0,0,43,63.07,13.88
C Cassell,Scotland,1,1,1,0,4,5,0,0,0,0,4,80.0,4.0
C Chatonzwa,Zimbabwe,7,7,7,0,46,153,3,0,0,0,18,30.07,6.57
C Connolly,Australia,5,5,4,1,94,138,7,1,1,0,61,68.12,23.5
C Floyd,Netherlands,4,4,3,1,12,19,2,0,0,0,9,63.16,4.0
C Green,Australia,27,27,19,8,782,890,64,20,2,1,118,87.87,41.16
C Hemraj,West Indies,6,6,6,0,82,101,13,2,0,0,32,81.19,13.67
C Jonker,South Africa,2,2,2,0,31,34,5,1,0,0,25,91.18,15.5
C Karunaratne,Sri Lanka,24,24,18,6,451,589,32,8,1,0,75,76.57,25.06
C Kieswetter,England,38,38,34,4,985,1130,98,30,4,1,107,87.17,28.97
C Madande,Zimbabwe,13,13,12,1,287,390,29,0,2,0,74,73.59,23.92
C McAuslan,Hong Kong,2,2,2,0,35,74,4,0,0,0,27,47.3,17.5
C Munro,New Zealand,52,52,50,2,1249,1207,134,36,8,0,87,103.48,24.98
C Murray,Ireland,20,20,12,8,108,205,10,0,0,0,19,52.68,9.0
C Overton,England,5,5,3,2,68,79,4,1,0,0,32,86.08,22.67
C Prasad,United States of America,1,1,1,0,6,24,0,0,0,0,6,25.0,6.0
C Prathyusha,India,1,1,1,0,2,3,0,0,0,0,2,66.67,2.0
C Raack,Ireland,1,1,0,0,1,1,0,0,0,0,1,100.0,inf
C Sakariya,India,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0
C Sutthiruang,Thailand,12,12,12,0,155,250,21,1,0,0,25,62.0,12.92
C Tear,Scotland,19,19,16,3,489,646,51,7,4,0,80,75.7,30.56
C Viljoen,Namibia,2,2,1,1,19,23,2,0,0,0,17,82.61,19.0
C White,England,4,4,3,1,79,84,6,0,0,0,35,94.05,26.33
C Wickramasinghe,Sri Lanka,3,3,3,0,58,106,4,1,0,0,22,54.72,19.33
C Zhuwao,Zimbabwe,8,8,8,0,154,137,18,9,0,0,45,112.41,19.25
C de Grandhomme,New Zealand,35,35,28,7,742,714,59,29,4,0,74,103.92,26.5
C de Lange,Netherlands,12,12,8,4,103,226,9,0,0,0,33,45.58,12.88
CA Henry,West Indies,49,49,43,6,795,931,73,17,4,0,61,85.39,18.49
CA Ingram,South Africa,28,28,25,3,761,935,75,9,2,3,124,81.39,30.44
CA Lynn,Australia,4,4,4,0,75,92,6,3,0,0,44,81.52,18.75
CA Pujara,India,5,5,5,0,51,136,4,0,0,0,27,37.5,10.2
CA Reid,United States of America,2,2,2,0,8,18,1,0,0,0,6,44.44,4.0
CA Soper,Papua New Guinea,47,47,35,12,653,1179,30,7,0,0,46,55.39,18.66
CA Young,Ireland,23,23,10,13,149,175,12,5,0,0,40,85.14,14.9
CAH Stevenson,United States of America,16,16,13,3,141,216,12,1,0,0,34,65.28,10.85
CAK Rajitha,Sri Lanka,15,15,9,6,104,178,12,1,0,0,33,58.43,11.56
CAK Walton,West Indies,8,8,8,0,53,88,7,0,0,0,19,60.23,6.62
CB Lambert,United States of America,1,1,1,0,39,86,4,1,0,0,39,45.35,39.0
CB Mpofu,Zimbabwe,30,30,15,15,40,170,0,0,0,0,9,23.53,2.67
CB Sole,Scotland,13,13,10,3,67,84,8,0,0,0,17,79.76,6.7
CB Wishart,Zimbabwe,15,15,14,1,361,496,40,4,0,1,172,72.78,25.79
CBRLS Kumara,Sri Lanka,17,17,11,6,58,137,8,1,0,0,10,42.34,5.27
CC Dalton,Ireland,1,1,1,0,18,27,3,0,0,0,18,66.67,18.0
CD Collymore,West Indies,14,14,8,6,39,71,1,2,0,0,12,54.93,4.88
CD Cumming,New Zealand,6,6,6,0,42,101,5,0,0,0,25,41.58,7.0
CD McMillan,New Zealand,46,46,39,7,1129,1393,93,32,7,1,117,81.05,28.95
CD Wallace,Scotland,25,25,24,1,515,598,42,9,4,0,58,86.12,21.46
CD de Lange,Scotland,5,5,2,3,65,94,6,0,0,0,26,69.15,32.5
CE Coulter Reilly,Ireland,10,10,9,1,207,325,22,0,1,0,80,63.69,23.0
CE Dean,England,33,33,23,10,509,752,42,0,0,0,47,67.69,22.13
CE McConchie,New Zealand,5,5,3,2,126,133,11,3,1,0,64,94.74,42.0
CG Williams,Namibia,16,16,14,2,427,550,38,8,1,1,129,77.64,30.5
CH Gayle,West Indies,198,198,189,9,6433,7434,670,254,34,13,215,86.53,34.04
CH Morris,South Africa,27,27,23,4,467,474,36,15,1,0,62,98.52,20.3
CH van Koolwijk,Netherlands,3,3,3,0,25,66,3,0,0,0,19,37.88,8.33
CJ Anderson,New Zealand,43,43,40,3,1102,1044,85,55,4,1,131,105.56,27.55
CJ Bowes,New Zealand,6,6,6,0,99,121,15,0,1,0,51,81.82,16.5
CJ Chibhabha,Zimbabwe,87,87,85,2,1987,3130,205,12,12,0,99,63.48,23.38
CJ Dala,South Africa,2,2,1,1,8,6,1,0,0,0,5,133.33,8.0
CJ Ferguson,Australia,25,25,16,9,663,795,64,0,5,0,71,83.4,41.44
CJ Jordan,England,23,23,15,8,184,218,12,5,0,0,38,84.4,12.27
CJ McKay,Australia,29,29,21,8,190,343,15,2,0,0,30,55.39,9.05
CJ Metcalfe,Ireland,6,6,3,3,21,54,3,0,0,0,10,38.89,7.0
CJ Nevin,New Zealand,7,7,7,0,83,151,10,0,0,0,29,54.97,11.86
CJ Smith,Bermuda,5,5,5,0,27,48,2,2,0,0,15,56.25,5.4
CJA Amini,Papua New Guinea,45,45,45,0,952,1545,78,4,6,0,77,61.62,21.16
CJO Smith,Scotland,9,9,9,0,157,240,23,0,1,0,51,65.42,17.44
CK Coventry,Zimbabwe,24,24,23,1,645,737,48,26,3,1,194,87.52,28.04
CK Holder,West Indies,1,1,0,0,0,3,0,0,0,0,0,0.0,0.0
CK Hooper,Canada,2,2,2,0,4,3,1,0,0,0,4,133.33,2.0
CK Kapugedera,Sri Lanka,76,76,69,7,1505,2157,100,28,8,0,95,69.77,21.81
CK Kruger,Hong Kong,2,2,2,0,3,21,0,0,0,0,3,14.29,1.5
CK Langeveldt,South Africa,17,17,10,7,70,120,8,0,0,0,12,58.33,7.0
CK Tshuma,Zimbabwe,1,1,1,0,0,1,0,0,0,0,0,0.0,0.0
CKB Kulasekara,Sri Lanka,3,3,3,0,38,73,0,0,0,0,19,52.05,12.67
CL Cairns,New Zealand,30,30,24,6,790,894,59,28,4,0,84,88.37,32.92
CL Hooper,West Indies,5,5,4,1,93,118,3,1,0,0,45,78.81,23.25
CL Tryon,South Africa,77,78,65,13,1910,1805,176,68,11,0,88,105.82,29.38
CL White,Australia,75,75,59,16,2053,2583,145,44,11,2,105,79.48,34.8
CM Beggs,Ireland,1,1,1,0,1,16,0,0,0,0,1,6.25,1.0
CM Edwards,England,26,26,24,2,1054,1464,137,0,7,4,138,71.99,43.92
CM McBride,Scotland,18,18,17,1,395,567,50,2,1,0,56,69.66,23.24
CM Wright,Scotland,6,6,5,1,81,145,4,1,0,0,37,55.86,16.2
CMA Shillington,Ireland,9,9,8,1,179,199,27,2,0,0,39,89.95,22.38
CMG Atkins,England,2,2,0,0,117,211,13,0,1,0,69,55.45,inf
CMW Read,England,14,14,11,3,156,221,12,1,0,0,30,70.59,14.18
CN Ackermann,Netherlands,15,15,14,1,380,517,38,2,3,0,69,73.5,27.14
CN Greaves,Scotland,22,22,16,6,355,414,31,8,2,0,56,85.75,22.19
CN Nation,West Indies,45,46,40,6,831,1526,84,3,1,0,51,54.46,20.78
CNIM Joyce,Ireland,9,9,8,1,228,493,29,0,0,0,49,46.25,28.5
CO Browne,West Indies,8,8,6,2,144,171,14,2,0,0,46,84.21,24.0
CO Obuya,Kenya,32,32,29,3,737,1040,58,15,3,0,98,70.87,25.41
CP Jack,West Indies,1,1,1,0,17,26,3,0,0,0,17,65.38,17.0
CP Rizwan,United Arab Emirates,38,38,33,5,901,1573,64,2,4,1,109,57.28,27.3
CP Tremain,Australia,3,3,1,2,23,39,2,1,0,0,23,58.97,23.0
CR Brathwaite,West Indies,34,34,32,2,527,613,34,22,1,1,101,85.97,16.47
CR Ervine,Zimbabwe,95,95,84,11,2909,3763,287,37,19,4,130,77.31,34.63
CR Foggo,Bermuda,1,1,1,0,6,5,0,0,0,0,6,120.0,6.0
CR Pagydyala,United States of America,3,3,1,2,206,307,20,0,1,1,136,67.1,206.0
CR Seneviratna,Sri Lanka,9,9,8,1,133,277,11,0,0,0,40,48.01,16.62
CR Woakes,England,84,84,63,21,1514,1714,118,21,6,0,95,88.33,24.03
CRD Fernando,Sri Lanka,34,34,17,17,175,266,17,2,0,0,20,65.79,10.29
CS Baugh,West Indies,27,27,20,7,382,563,30,4,0,0,49,67.85,19.1
CS Fraser,West Indies,11,11,10,1,89,175,8,1,0,0,24,50.86,8.9
CS MacLeod,Scotland,61,61,59,2,2015,2570,207,26,9,6,175,78.4,34.15
CS Martin,New Zealand,1,1,0,0,2,3,0,0,0,0,2,66.67,inf
CS Mugeri-Tiripano,Zimbabwe,20,20,19,1,554,825,70,0,4,0,61,67.15,29.16
CS Terblanche,South Africa,2,2,2,0,38,65,1,0,0,0,19,58.46,19.0
CT Dhururu,Zimbabwe,19,19,16,3,221,540,21,0,0,0,46,40.93,13.81
CT Mumba,Zimbabwe,6,6,4,2,32,56,1,1,0,0,13,57.14,8.0
CT Mutombodzi,Zimbabwe,9,9,9,0,122,149,12,2,0,0,34,81.88,13.56
CT Tremlett,England,11,11,7,4,50,91,2,2,0,0,19,54.95,7.14
CW Perchard,Jersey,3,3,0,0,31,35,1,2,0,0,16,88.57,inf
CZ Harris,New Zealand,18,18,14,4,203,402,15,0,0,0,38,50.5,14.5
Chirag Suri,United Arab Emirates,36,36,36,0,924,1472,95,13,5,2,115,62.77,25.67
Codi Yusuf,South Africa,1,1,1,0,5,11,1,0,0,0,5,45.45,5.0
D Bau,Papua New Guinea,8,8,7,1,130,222,10,1,0,0,46,58.56,18.57
D Birrell,Jersey,1,1,1,0,0,1,0,0,0,0,0,0.0,0.0
D Bishoo,West Indies,24,24,15,9,164,265,17,1,0,0,29,61.89,10.93
D Brevis,South Africa,9,9,8,1,230,168,10,20,1,0,54,136.9,28.75
D Brown,Australia,3,3,0,0,19,25,2,0,0,0,14,76.0,inf
D Cleaver,New Zealand,1,1,1,0,32,37,3,0,0,0,32,86.49,32.0
D Daesrath,Canada,1,1,1,0,31,59,3,1,0,0,31,52.54,31.0
D Devnarain,South Africa,11,11,11,0,145,302,16,0,0,0,42,48.01,13.18
D Dhingra,United States of America,9,9,9,0,289,443,36,0,2,0,58,65.24,32.11
D Elgar,South Africa,7,7,6,1,104,181,6,0,0,0,42,57.46,17.33
D Ferreira,South Africa,2,2,2,0,10,22,1,0,0,0,7,45.45,5.0
D Foxcroft,New Zealand,1,1,1,0,0,1,0,0,0,0,0,0.0,0.0
D Gamage,Sri Lanka,2,2,1,1,3,11,0,0,0,0,2,27.27,3.0
D Ganga,West Indies,7,7,7,0,152,302,17,0,1,0,54,50.33,21.71
D Gough,England,13,13,7,6,137,198,12,1,0,0,46,69.19,19.57
D Hazell,England,8,8,7,1,109,140,8,2,0,0,45,77.86,15.57
D Hemalatha,India,8,8,8,0,97,171,7,3,0,0,35,56.73,12.12
D Heyliger,Canada,17,17,15,2,213,225,18,8,1,0,56,94.67,14.2
D Joseph,Canada,4,4,1,3,13,32,1,0,0,0,9,40.62,13.0
D Keulder,Namibia,6,6,6,0,132,221,11,0,1,0,52,59.73,22.0
D Khanal,Nepal,12,12,12,0,329,482,24,6,3,0,76,68.26,27.42
D Lakshan,Sri Lanka,1,1,1,0,2,9,0,0,0,0,2,22.22,2.0
D Langford-Smith,Ireland,9,9,5,4,79,84,6,2,0,0,18,94.05,15.8
D Lohia,Papua New Guinea,5,5,3,2,13,37,0,0,0,0,8,35.14,4.33
D Madushanka,Sri Lanka,9,9,3,6,36,76,5,0,0,0,19,47.37,12.0
D Mohammed,West Indies,1,1,0,0,0,2,0,0,0,0,0,0.0,0.0
D Mongia,India,18,18,16,2,325,545,24,3,1,0,63,59.63,20.31
D Murphy,Scotland,2,2,2,0,9,28,0,0,0,0,7,32.14,4.5
D Myers,Zimbabwe,7,7,7,0,138,194,17,0,0,0,34,71.13,19.71
D Parashar,United Arab Emirates,12,12,8,4,192,313,13,4,1,0,50,61.34,24.0
D Pretorius,South Africa,13,13,12,1,192,232,14,5,1,0,50,82.76,16.0
D Prins,Netherlands,2,2,2,0,7,40,0,0,0,0,5,17.5,3.5
D Ramdin,West Indies,103,103,84,19,2072,2636,153,31,7,2,169,78.6,24.67
D Ravu,Papua New Guinea,13,13,9,4,128,193,9,4,0,0,38,66.32,14.22
D Soraine,Canada,2,2,2,0,3,10,0,0,0,0,3,30.0,1.5
D Tucker,South Africa,6,6,4,2,64,88,7,0,0,0,25,72.73,16.0
D Vihanga,Sri Lanka,7,7,7,0,55,75,5,2,0,0,16,73.33,7.86
D Wiese,Namibia,14,14,12,2,328,375,21,10,1,0,67,87.47,27.33
D la Cock,Namibia,15,15,14,1,313,475,38,6,1,0,59,65.89,22.36
D van Niekerk,South Africa,46,47,34,13,1336,1805,143,17,6,1,102,74.02,39.29
DA Gunawardene,Sri Lanka,16,16,15,1,322,591,30,1,2,0,64,54.48,21.47
DA Marillier,Zimbabwe,10,10,10,0,249,355,23,2,1,1,100,70.14,24.9
DA Miller,South Africa,150,150,107,43,4573,4510,341,143,24,7,139,101.4,42.74
DA Minors,Bermuda,8,8,8,0,104,176,10,4,0,0,37,59.09,13.0
DA Warner,Australia,154,154,150,4,6623,6974,701,125,32,21,179,94.97,44.15
DAJ Bracewell,New Zealand,14,14,12,2,221,279,14,7,1,0,57,79.21,18.42
DAS Gunaratne,Sri Lanka,25,25,21,4,575,743,50,6,1,1,114,77.39,27.38
DB Kotze,Namibia,6,6,5,1,82,135,3,1,0,0,27,60.74,16.4
DB Sharma,India,95,95,67,28,2387,3444,214,17,18,0,93,69.31,35.63
DBL Powell,West Indies,19,19,17,2,105,139,4,5,0,0,48,75.54,6.18
DC Drakes,West Indies,2,2,2,0,11,18,0,0,0,0,8,61.11,5.5
DC Thomas,West Indies,19,19,17,2,238,379,19,2,0,0,37,62.8,14.0
DCC Borden,Bermuda,4,4,4,0,23,84,2,0,0,0,13,27.38,5.75
DD Ebrahim,Zimbabwe,28,28,25,3,555,1050,36,0,2,0,71,52.86,22.2
DDP D'Silva,United Arab Emirates,5,5,4,1,53,123,8,0,0,0,31,43.09,13.25
DE Bernard,West Indies,12,12,10,2,141,225,10,0,0,0,38,62.67,14.1
DE Bollinger,Australia,7,7,6,1,50,54,5,0,0,0,30,92.59,8.33
DE Budge,Scotland,14,14,10,4,237,311,17,1,0,0,46,76.21,23.7
DEM Carter,Scotland,10,10,10,0,225,336,29,0,1,0,86,66.96,22.5
DES Maxwell,Canada,3,3,1,2,54,45,2,3,0,0,37,120.0,54.0
DF Watts,Scotland,8,8,8,0,130,240,13,2,1,0,58,54.17,16.25
DG Blampied,Jersey,2,2,2,0,7,13,1,0,0,0,7,53.85,3.5
DG Brownlie,New Zealand,15,15,14,1,361,500,46,1,1,0,63,72.2,25.79
DI Allan,Kenya,2,2,2,0,18,48,2,0,0,0,15,37.5,9.0
DI Joyce,Ireland,3,3,3,0,29,61,4,0,0,0,18,47.54,9.67
DJ Bravo,West Indies,127,127,108,19,2760,3506,219,53,10,2,112,78.72,25.56
DJ Hooda,India,7,7,6,1,153,194,10,1,0,0,33,78.87,25.5
DJ Hussey,Australia,59,59,53,6,1672,1912,122,24,14,0,79,87.45,31.55
DJ Malan,England,29,29,25,4,1418,1504,146,32,7,6,140,94.28,56.72
DJ Mitchell,New Zealand,53,53,45,8,2689,2868,216,71,12,9,137,93.76,59.76
DJ Reekers,Netherlands,5,5,5,0,38,38,8,0,0,0,25,100.0,7.6
DJ Willey,England,45,45,26,19,656,702,56,24,2,0,51,93.45,25.23
DJ Worrall,Australia,1,1,0,0,6,4,1,0,0,0,6,150.0,inf
DJG Sammy,West Indies,102,102,75,27,1853,1926,144,84,9,0,89,96.21,24.71
DJM Short,Australia,8,8,7,1,211,274,16,1,1,0,69,77.01,30.14
DJS Dottin,West Indies,59,61,55,6,1730,2141,203,41,5,3,150,80.8,31.45
DK Butler,West Indies,2,2,0,0,16,24,3,0,0,0,13,66.67,inf
DL Blake,United States of America,1,1,1,0,0,2,0,0,0,0,0,0.0,0.0
DL Chahar,India,8,8,5,3,191,204,16,8,2,0,69,93.63,38.2
DL Hemp,Bermuda,11,11,9,2,268,398,32,3,3,0,76,67.34,29.78
DL Vettori,New Zealand,96,96,71,25,1450,1745,118,8,3,0,79,83.09,20.42
DLS van Bunge,Netherlands,12,12,11,1,293,519,27,5,2,0,62,56.45,26.64
DM Braat,Netherlands,2,2,2,0,6,31,1,0,0,0,5,19.35,3.0
DM Bravo,West Indies,113,113,103,10,3007,4475,246,71,17,4,124,67.2,29.19
DM Dupavillon,South Africa,1,1,1,0,17,10,2,1,0,0,17,170.0,17.0
DM Kimmince,Australia,3,3,0,0,37,52,3,0,0,0,18,71.15,inf
DM Richards,West Indies,7,7,7,0,179,260,21,3,2,0,59,68.85,25.57
DM de Silva,Sri Lanka,76,76,68,8,1769,2330,177,15,9,0,93,75.92,26.01
DN Wellalage,Sri Lanka,25,25,21,4,389,487,29,10,1,0,67,79.88,18.52
DN Wyatt,England,81,81,68,13,1716,1890,176,25,5,2,129,90.79,25.24
DNT Zoysa,Sri Lanka,9,9,6,3,36,56,3,0,0,0,14,64.29,6.0
DO Leicher,Namibia,4,4,3,1,111,164,5,3,1,0,58,67.68,37.0
DO Obuya,Kenya,23,23,22,1,302,583,25,3,2,0,57,51.8,13.73
DOD Rikhi,United States of America,1,1,1,0,3,6,0,0,0,0,3,50.0,3.0
DP Conway,New Zealand,41,41,38,3,1672,1962,207,22,6,5,152,85.22,44.0
DP Hyatt,West Indies,9,9,8,1,112,189,8,6,0,0,39,59.26,14.0
DP Vaidya,India,7,7,6,1,132,207,15,0,1,0,89,63.77,22.0
DPMD Jayawardene,Sri Lanka,264,264,241,23,8069,10269,743,52,51,12,144,78.58,33.48
DR Brown,Scotland,4,4,3,1,72,115,6,0,0,0,45,62.61,24.0
DR Chumney,Canada,11,11,10,1,219,336,19,6,0,0,44,65.18,21.9
DR Flynn,New Zealand,10,10,9,1,167,247,19,1,0,0,35,67.61,18.56
DR Martyn,Australia,73,73,56,17,2239,2970,202,8,19,2,101,75.39,39.98
DR Mousley,England,3,3,2,1,69,88,5,1,1,0,57,78.41,34.5
DR Smith,West Indies,74,74,70,4,1261,1430,120,48,8,0,97,88.18,18.01
DR Tuffey,New Zealand,21,21,17,4,188,200,13,6,0,0,36,94.0,11.06
DS Airee,Nepal,59,59,53,6,1154,1571,88,15,5,1,105,73.46,21.77
DS Bajwa,Canada,8,8,8,0,108,184,11,1,0,0,26,58.7,13.5
DS Kulkarni,India,2,2,0,0,27,31,2,1,0,0,25,87.1,inf
DS Lehmann,Australia,20,20,17,3,687,870,56,5,6,1,107,78.97,40.41
DS Smith,West Indies,39,39,38,1,973,1379,99,9,5,1,107,70.56,25.61
DS Weerakkody,Sri Lanka,3,3,3,0,73,67,9,1,1,0,58,108.96,24.33
DSK Madushanka,Sri Lanka,1,1,1,0,7,6,1,0,0,0,7,116.67,7.0
DT Christian,Australia,18,18,13,5,273,313,23,3,0,0,39,87.22,21.0
DT Hondo,Zimbabwe,14,14,8,6,35,113,4,0,0,0,12,30.97,4.38
DT Johnston,Ireland,29,29,21,8,361,473,27,8,0,0,34,76.32,17.19
DT Tiripano,Zimbabwe,26,26,18,8,343,535,27,8,1,0,55,64.11,19.06
DW Steyn,South Africa,51,51,39,12,365,592,35,9,1,0,60,61.66,9.36
Danish Aziz,Pakistan,2,2,2,0,12,22,2,0,0,0,9,54.55,6.0
Danish Kaneria,Pakistan,5,5,2,3,9,15,1,0,0,0,6,60.0,4.5
Dhiman Ghosh,Bangladesh,11,11,9,2,124,205,9,1,0,0,30,60.49,13.78
Diana Baig,Pakistan,48,48,36,12,352,472,31,5,0,0,38,74.58,9.78
Dilara Akter,Bangladesh,2,2,2,0,21,33,4,0,0,0,13,63.64,10.5
Dolar Mahmud,Bangladesh,4,4,4,0,61,44,5,4,0,0,41,138.64,15.25
E Bisht,India,17,17,13,4,73,125,6,0,0,0,14,58.4,5.62
E Bosch,South Africa,1,1,0,0,7,9,0,0,0,0,7,77.78,inf
E Chigumbura,Zimbabwe,151,151,130,21,3266,4235,264,73,14,2,117,77.12,25.12
E Claridge,United States of America,5,5,4,1,79,103,10,0,0,0,49,76.7,19.75
E Lewis,West Indies,59,59,55,4,2051,2398,193,73,10,5,176,85.53,37.29
E Malinga,Sri Lanka,6,6,3,3,14,56,2,0,0,0,4,25.0,4.67
E Marx,South Africa,4,4,1,3,53,80,5,0,0,0,35,66.25,53.0
E Mbofana,Zimbabwe,4,4,2,2,22,56,1,0,0,0,8,39.29,11.0
E Otieno,Kenya,7,7,5,2,21,57,2,0,0,0,8,36.84,4.2
E Pokana,Papua New Guinea,1,1,1,0,1,2,0,0,0,0,1,50.0,1.0
E Schiferli,Netherlands,8,8,7,1,79,140,12,0,0,0,22,56.43,11.29
EA Osborne,Australia,16,16,9,7,151,184,13,2,0,0,40,82.07,16.78
EA Perry,Australia,98,98,66,32,3673,4683,339,47,34,2,107,78.43,55.65
EAJ Richardson,Ireland,6,6,6,0,106,143,14,0,0,0,29,74.13,17.67
EC Joyce,Ireland,60,60,56,4,1845,2666,181,16,10,4,116,69.2,32.95
EC Perry,New Zealand,3,3,1,2,21,28,4,0,0,0,16,75.0,21.0
EC Rainsford,Zimbabwe,17,17,9,8,31,103,1,0,0,0,9,30.1,3.44
EH Hutchinson,United States of America,6,6,4,2,123,125,7,7,0,0,49,98.4,30.75
EHSN Silva,United Arab Emirates,1,1,1,0,7,14,0,0,0,0,7,50.0,7.0
EJ Carson,New Zealand,10,10,7,3,12,20,1,0,0,0,4,60.0,1.71
EJ Richardson,Ireland,1,1,1,0,12,18,2,0,0,0,12,66.67,12.0
EJ Tice,Ireland,2,2,2,0,2,12,0,0,0,0,1,16.67,1.0
EJ Villani,Australia,25,25,24,1,468,606,60,6,3,0,75,77.23,19.5
EJB Miles,Jersey,2,2,1,1,1,7,0,0,0,0,1,14.29,1.0
EJG Morgan,England,215,215,184,31,6953,7767,600,190,43,12,124,89.52,37.79
EL Arlott,England,2,2,1,1,25,28,3,0,0,0,18,89.29,25.0
EL Lamb,England,22,22,22,0,596,710,75,0,4,1,102,83.94,27.09
EL Watson,Scotland,8,8,7,1,50,125,2,0,0,0,16,40.0,7.14
EM Bermingham,New Zealand,11,11,7,4,94,107,7,3,0,0,35,87.85,13.43
EMA McLeod,New Zealand,4,4,4,0,61,108,6,0,0,0,35,56.48,15.25
EMDY Munaweera,Sri Lanka,2,2,2,0,15,29,2,0,0,0,11,51.72,7.5
EMKNH Senavirathna,Sri Lanka,2,2,2,0,7,22,0,0,0,0,5,31.82,3.5
EN Lynch,Netherlands,13,13,11,2,115,229,14,0,0,0,26,50.22,10.45
ER Oza,United Arab Emirates,8,8,8,0,148,219,18,0,1,0,82,67.58,18.5
ES Szwarczynski,Netherlands,12,12,11,1,281,482,29,1,3,0,75,58.3,25.55
Ebadat Hossain,Bangladesh,6,6,2,4,3,18,0,0,0,0,1,16.67,1.5
Ehsan Adil,Pakistan,4,4,3,1,27,43,2,0,0,0,15,62.79,9.0
Ehsan Khan,Hong Kong,11,11,8,3,100,229,8,0,0,0,27,43.67,12.5
Ehsan Nawaz,Hong Kong,6,6,5,1,29,83,2,0,0,0,11,34.94,5.8
Ehsanul Haque,Bangladesh,3,3,3,0,28,76,4,0,0,0,13,36.84,9.33
Elias Sunny,Bangladesh,4,4,2,2,2,11,0,0,0,0,1,18.18,1.0
Enamul Haque jnr,Bangladesh,3,3,4,-1,8,16,0,0,0,0,5,50.0,2.0
